,0,1
0,849932,849930
1,744993,744991
2,673055,673050
3,41420,58643
4,532172,532173
5,642267,642269
6,301327,301325
7,334701,334700
8,547975,547972
9,196221,196225
10,2180,2181
11,725801,768855
12,427327,427330
13,159317,159316
14,555800,555798
15,241486,225018
16,22907,22902
17,730189,730192
18,279699,279700
19,501190,501191
20,306554,306551
21,742080,742078
22,644517,644514
23,203582,203583
24,420346,420347
25,209663,209662
26,756805,756804
27,708139,708142
28,483359,484388
29,106817,106819
30,560026,560027
31,494935,494934
32,533690,569224
33,343223,343224
34,594938,802023
35,778062,778061
36,678301,678303
37,934554,934551
38,868939,868940
39,364161,380811
40,898002,898001
41,367052,367053
42,439728,439729
43,505994,505998
44,378971,366927
45,29861,29860
46,53104,53103
47,129886,129885
48,474175,474174
49,626335,626334
50,489037,486569
51,107259,107258
52,424111,424110
53,268483,316627
54,519794,519686
55,368909,368904
56,342361,342358
57,212723,212719
58,445451,445452
59,434259,434254
60,393177,393174
61,862259,862362
62,32358,32355
63,919365,919364
64,376044,376041
65,609484,609486
66,219829,219831
67,65010,65012
68,205066,205064
69,257074,257072
